g-force,time,trot,canter
3835,659444,,
3799,659470,,
3845,659495,,
3854,659521,,
3802,659546,,
3772,659571,,
3803,659597,,
3809,659622,,
3845,659648,,
3848,659673,,
3813,659702,,
3838,659727,,
3829,659752,,
3813,659778,,
3802,659804,,
3871,659829,,
3829,659920,,
3797,660017,,
3845,660043,,
3835,660069,,
3826,660094,,
3819,660120,,
3823,660145,,
3823,660170,,
3751,660196,,
3861,660221,,
3805,660247,,
3817,660272,,
3813,660301,,
3855,660327,,
3872,660353,,
3877,660378,,
3841,660403,,
3824,660428,,
3799,660454,,
3791,660480,,
3812,660505,,
3814,660531,,
3786,660555,,
3842,660581,,
3805,660606,,
3778,660632,,
3768,660658,,
3830,660683,,
3834,660708,,
3799,660733,,
3765,660763,,
3801,660789,,
3825,660814,,
3805,660861,,
3771,660993,,
3856,661019,,
3891,661045,,
3883,661070,,
3785,661096,,
3772,661122,,
3781,661147,,
3787,661173,,
3842,661197,,
3808,661223,,
3813,661249,,
3823,661274,,
3864,661300,,
3842,661325,,
3830,661350,,
3811,661380,,
3782,661405,,
3780,661430,,
3767,661455,,
3768,661481,,
3790,661507,,
3827,661532,,
3803,661557,,
3813,661582,,
3804,661608,,
3805,661634,,
3872,661659,,
3809,661738,,
3823,661764,,
3804,661789,,
3837,661815,,
3852,661863,,
3841,662000,,
3908,662030,,
3900,662056,,
3831,662081,,
3794,662107,,
3855,662132,,
3846,662158,,
3856,662182,,
3818,662208,,
3863,662234,,
3756,662259,,
3867,662285,,
3817,662309,,
3774,662335,,
3798,662361,,
3778,662386,,
3837,662411,,
3793,662436,,
3817,662462,,
3873,662492,,
3840,662517,,
3833,662542,,
3817,662567,,
3789,662593,,
3792,662619,,
3828,662644,,
3780,662669,,
3770,662694,,
3875,662720,,
3876,662746,,
3854,662770,,
3881,662796,,
3914,662821,,
3844,662870,,
3824,663002,,
3807,663028,,
3818,663054,,
3804,663079,,
3865,663109,,
3789,663134,,
3837,663159,,
3818,663185,,
3836,663211,,
3846,663236,,
3834,663261,,
3883,663286,,
3860,663312,,
3784,663337,,
3824,663362,,
3816,663388,,
3922,663413,,
3859,663439,,
3869,663463,,
3907,663489,,
3956,663515,,
3915,663540,,
3789,663569,,
3769,663595,,
3749,663620,,
3778,663646,,
3829,663670,,
3780,663696,,
3795,663721,,
3840,663747,,
3844,663772,,
3880,663797,,
3907,663823,,
3952,663887,,
3812,664031,,
3799,664057,,
3813,664083,,
3782,664109,,
3775,664134,,
3796,664160,,
3796,664188,,
3813,664214,,
3762,664240,,
3798,664265,,
3842,664290,,
3840,664315,,
3842,664341,,
3854,664367,,
3788,664391,,
3717,664417,,
3716,664442,,
3722,664468,,
3731,664493,,
3717,664518,,
3696,664544,,
3707,664569,,
3759,664594,,
3749,664620,,
3763,664645,,
3752,664674,,
3763,664754,,
3795,664779,,
3748,664804,,
3764,664829,,
3832,664904,,
3751,665015,,
3700,665050,,
3711,665075,,
3760,665101,,
3808,665125,,
3813,665151,,
3790,665177,,
3772,665201,,
3709,665227,,
3707,665252,,
3718,665278,,
3689,665303,,
3774,665332,,
3721,665358,,
3753,665382,,
